RX Date/Time,Mask Temp(field 1),Room Temp(field 2),Delta(field 3),Tank Temp(field 4)
2022/07/15/ 14:28:09::680,Temp Test,22.625,22.5,15.375,0.125
2022/07/15/ 14:28:14::744,Temp Test,22.6875,22.5,15.375,0.1875
2022/07/15/ 14:28:19::809,Temp Test,22.6875,22.5,15.4375,0.1875
2022/07/15/ 14:28:24::874,Temp Test,22.6875,22.5,15.4375,0.1875
2022/07/15/ 14:28:29::938,Temp Test,22.625,22.5,15.4375,0.125
2022/07/15/ 14:28:35::002,Temp Test,22.625,22.5,15.5,0.125
2022/07/15/ 14:28:40::065,Temp Test,22.6875,22.5,15.5,0.1875
2022/07/15/ 14:28:45::135,Temp Test,22.6875,22.5,15.5625,0.1875
2022/07/15/ 14:28:50::194,Temp Test,22.6875,22.5,15.5625,0.1875
2022/07/15/ 14:28:55::258,Temp Test,22.6875,22.5,15.5625,0.1875
2022/07/15/ 14:29:00::322,Temp Test,22.6875,22.5,15.5625,0.1875
2022/07/15/ 14:29:05::385,Temp Test,22.625,22.5,15.625,0.125
2022/07/15/ 14:29:10::452,Temp Test,22.6875,22.5,15.625,0.1875
2022/07/15/ 14:29:15::515,Temp Test,22.625,22.5,15.6875,0.125
2022/07/15/ 14:29:20::580,Temp Test,22.625,22.5,15.625,0.125
2022/07/15/ 14:29:25::644,Temp Test,22.625,22.5,15.6875,0.125
2022/07/15/ 14:29:30::708,Temp Test,22.6875,22.5,15.6875,0.1875
2022/07/15/ 14:29:35::772,Temp Test,22.625,22.5,15.6875,0.125
2022/07/15/ 14:29:40::837,Temp Test,22.6875,22.5,15.6875,0.1875
2022/07/15/ 14:29:45::900,Temp Test,22.6875,22.5,15.75,0.1875
2022/07/15/ 14:29:50::964,Temp Test,22.625,22.5,15.6875,0.125
2022/07/15/ 14:29:56::029,Temp Test,22.6875,22.5,15.75,0.1875
2022/07/15/ 14:30:01::091,Temp Test,22.6875,22.5,15.75,0.1875
2022/07/15/ 14:30:06::156,Temp Test,22.625,22.5,15.75,0.125
2022/07/15/ 14:30:11::220,Temp Test,22.6875,22.5,15.8125,0.1875
2022/07/15/ 14:30:16::284,Temp Test,22.6875,22.5,15.8125,0.1875
2022/07/15/ 14:30:21::348,Temp Test,22.6875,22.5,15.875,0.1875
2022/07/15/ 14:30:26::412,Temp Test,22.6875,22.5,15.875,0.1875
2022/07/15/ 14:30:31::476,Temp Test,22.6875,22.5,15.8125,0.1875
2022/07/15/ 14:30:36::539,Temp Test,22.6875,22.5,15.875,0.1875
2022/07/15/ 14:30:41::603,Temp Test,22.6875,22.5,15.875,0.1875
2022/07/15/ 14:30:46::669,Temp Test,22.6875,22.5,15.875,0.1875
2022/07/15/ 14:30:51::733,Temp Test,22.6875,22.5,15.875,0.1875
2022/07/15/ 14:30:56::798,Temp Test,22.6875,22.4375,15.9375,0.25
2022/07/15/ 14:31:01::862,Temp Test,22.6875,22.5,15.9375,0.1875
2022/07/15/ 14:31:06::926,Temp Test,22.6875,22.5,15.9375,0.1875
2022/07/15/ 14:31:11::990,Temp Test,22.6875,22.5,15.9375,0.1875
2022/07/15/ 14:31:17::054,Temp Test,22.6875,22.5,15.9375,0.1875
2022/07/15/ 14:31:22::137,Temp Test,22.6875,22.5,15.9375,0.1875
2022/07/15/ 14:31:27::184,Temp Test,22.6875,22.5,15.9375,0.1875
2022/07/15/ 14:31:32::248,Temp Test,22.6875,22.4375,15.9375,0.25
2022/07/15/ 14:31:37::312,Temp Test,22.6875,22.5,16.0,0.1875
2022/07/15/ 14:31:42::376,Temp Test,22.6875,22.5,16.0,0.1875
2022/07/15/ 14:31:47::440,Temp Test,22.6875,22.5,16.0,0.1875
2022/07/15/ 14:31:52::504,Temp Test,22.6875,22.5,16.0,0.1875
2022/07/15/ 14:31:57::569,Temp Test,22.6875,22.5,13.375,0.1875
2022/07/15/ 14:32:02::632,Temp Test,22.75,22.5,8.1875,0.25
2022/07/15/ 14:32:07::696,Temp Test,22.6875,22.5,5.5625,0.1875
2022/07/15/ 14:32:12::761,Temp Test,22.6875,22.5,4.3125,0.1875
2022/07/15/ 14:32:17::827,Temp Test,22.6875,22.5,3.5625,0.1875
2022/07/15/ 14:32:22::891,Temp Test,22.6875,22.5,2.875,0.1875
2022/07/15/ 14:32:27::954,Temp Test,22.75,22.5,2.375,0.25
2022/07/15/ 14:32:33::020,Temp Test,22.75,22.5,2.0,0.25
2022/07/15/ 14:32:38::082,Temp Test,22.75,22.5,1.8125,0.25
2022/07/15/ 14:32:43::146,Temp Test,22.6875,22.5,1.6875,0.1875
2022/07/15/ 14:32:48::210,Temp Test,22.6875,22.5,1.625,0.1875
2022/07/15/ 14:32:53::274,Temp Test,22.6875,22.5,1.5625,0.1875
2022/07/15/ 14:32:58::338,Temp Test,22.6875,22.5,1.5625,0.1875
2022/07/15/ 14:33:03::403,Temp Test,22.6875,22.5,1.5625,0.1875
2022/07/15/ 14:33:08::466,Temp Test,22.6875,22.5,1.5,0.1875
2022/07/15/ 14:33:13::530,Temp Test,22.75,22.5,1.5625,0.25
