Tank, Intake, Exhaust
22.8125, 22.5625, 6.125
22.8125, 22.5625, 6.0625
22.8125, 22.5625, 6.0625
22.8125, 22.625, 6.0
22.8125, 22.5625, 5.9375
22.75, 22.1875, 5.9375
16.25, 15.875, 5.875
12.4375, 12.875, 5.6875
10.5, 11.3125, 5.5625
9.25, 10.375, 5.1875
8.4375, 9.625, 4.6875
7.8125, 9.0, 4.3125
7.375, 8.5, 4.0
7.125, 8.0625, 3.8125
6.875, 7.6875, 3.5625
6.625, 7.3125, 3.3125
6.4375, 7.0625, 3.0625
6.25, 6.75, 3.0
6.0625, 6.4375, 2.9375
6.0, 6.1875, 2.6875
5.75, 5.9375, 2.4375
5.625, 5.75, 2.25
5.5625, 5.625, 2.0625
5.4375, 5.4375, 2.0
5.375, 5.1875, 1.9375
5.3125, 5.0, 1.75
5.25, 4.875, 1.6875
5.1875, 4.75, 1.625
5.0, 4.625, 1.625
4.875, 4.4375, 1.625
4.8125, 4.3125, 1.5
4.6875, 4.25, 1.4375
4.625, 4.1875, 1.375
4.5625, 4.125, 1.4375
4.5, 4.0625, 1.375
4.4375, 3.9375, 1.4375
4.3125, 3.8125, 1.375
4.25, 3.75, 1.25
4.1875, 3.6875, 1.125
4.125, 3.625, 1.0
4.125, 3.5625, 1.0
4.0625, 3.5, 0.9375
4.0625, 3.5, 0.9375
4.0625, 3.5, 0.9375
4.0625, 3.4375, 0.9375
4.0, 3.375, 0.9375
4.0, 3.375, 0.875
3.9375, 3.3125, 0.875
3.9375, 3.25, 0.875
3.875, 3.1875, 0.8125
3.8125, 3.1875, 0.8125
3.75, 3.125, 0.8125
3.75, 3.0625, 0.75
3.6875, 3.0, 0.8125
3.6875, 3.0, 0.75
3.6875, 3.0625, 0.8125
3.625, 2.9375, 0.75
3.5625, 2.9375, 0.6875
3.5625, 2.9375, 0.75
3.5625, 2.9375, 0.6875
3.5, 2.9375, 0.6875
3.5, 2.875, 0.6875
3.4375, 2.875, 0.6875
3.4375, 2.8125, 0.6875
3.4375, 2.8125, 0.75
3.5625, 3.0, 0.6875
3.9375, 3.4375, 0.6875
4.3125, 3.875, 0.6875
4.625, 4.25, 0.6875
4.9375, 4.5, 0.6875
5.1875, 4.8125, 0.75
5.5, 5.0625, 0.6875
5.6875, 5.3125, 0.6875
5.9375, 5.5, 0.6875
6.0625, 5.6875, 0.75
6.3125, 5.9375, 0.75
6.4375, 6.125, 0.6875
6.625, 6.25, 0.75
6.8125, 6.4375, 0.75
7.0, 6.625, 0.75
7.125, 6.8125, 0.75
7.3125, 6.9375, 0.8125
7.4375, 7.0625, 0.8125
7.5625, 7.25, 0.8125
7.6875, 7.375, 0.8125
7.8125, 7.5, 0.8125
8.0, 7.625, 0.875
8.0625, 7.75, 0.8125
8.25, 7.875, 0.9375
8.3125, 8.0, 0.9375
8.5, 8.125, 0.9375
8.5625, 8.1875, 1.0
8.6875, 8.3125, 1.0
8.8125, 8.4375, 1.0
8.875, 8.5, 1.0625
9.0, 8.625, 1.0625
9.125, 8.75, 1.0625
9.1875, 8.875, 1.125
9.3125, 8.9375, 1.1875
9.4375, 9.0625, 1.1875
9.5625, 9.125, 1.25
9.625, 9.1875, 1.1875
9.75, 9.3125, 1.25
9.8125, 9.375, 1.25
9.9375, 9.4375, 1.3125
10.0625, 9.5625, 1.375
10.125, 9.5625, 1.375
10.1875, 9.6875, 1.375
10.25, 9.8125, 1.375
10.375, 9.875, 1.375
10.4375, 9.9375, 1.4375
10.5, 10.0, 1.5
10.5625, 10.0625, 1.5
10.625, 10.125, 1.5625
10.6875, 10.125, 1.5625
10.8125, 10.1875, 1.5625
10.9375, 10.25, 1.625
11.0, 10.375, 1.625
11.0625, 10.4375, 1.625
11.125, 10.4375, 1.625
11.1875, 10.5, 1.625
11.25, 10.5625, 1.6875
11.3125, 10.625, 1.75
11.4375, 10.6875, 1.75
11.5, 10.75, 1.75
11.5625, 10.8125, 1.8125
11.6875, 10.8125, 1.8125
11.6875, 10.875, 1.8125
11.75, 10.9375, 1.8125
11.8125, 11.0, 1.875
11.875, 11.0, 1.875
11.9375, 11.125, 1.9375
12.0, 11.125, 1.875
12.0625, 11.1875, 1.9375
12.125, 11.1875, 1.9375
12.1875, 11.25, 2.0
12.3125, 11.3125, 2.0
12.375, 11.375, 2.0
12.375, 11.375, 2.0625
12.4375, 11.4375, 2.0625
12.5, 11.5, 2.0625
12.5625, 11.5625, 2.0625
12.625, 11.5625, 2.0625
12.6875, 11.625, 2.125
12.75, 11.625, 2.125
12.8125, 11.6875, 2.1875
12.875, 11.75, 2.1875
12.875, 11.8125, 2.1875
13.0, 11.8125, 2.1875
13.0625, 11.875, 2.25
13.125, 11.9375, 2.1875
13.125, 11.9375, 2.25
13.1875, 12.0, 2.25
13.25, 12.0625, 2.25
13.3125, 12.0625, 2.3125
13.375, 12.125, 2.3125
13.4375, 12.1875, 2.375
13.4375, 12.25, 2.3125
13.5, 12.25, 2.375
13.5625, 12.3125, 2.375
13.5625, 12.375, 2.4375
13.625, 12.375, 2.4375
13.6875, 12.4375, 2.4375
13.75, 12.5, 2.4375
13.75, 12.5, 2.4375
13.8125, 12.5625, 2.5
13.875, 12.625, 2.5
13.875, 12.625, 2.5
13.9375, 12.6875, 2.5
14.0, 12.6875, 2.5625
14.0, 12.75, 2.5625
14.0625, 12.8125, 2.5625
14.125, 12.8125, 2.5625
14.1875, 12.875, 2.5625
14.1875, 12.875, 2.625
14.25, 12.9375, 2.5625
14.3125, 13.0, 2.625
14.375, 13.0, 2.6875
14.375, 13.0625, 2.6875
14.375, 13.125, 2.6875
14.4375, 13.1875, 2.6875
14.5, 13.1875, 2.6875
14.5, 13.25, 2.75
14.5625, 13.25, 2.6875
14.5625, 13.3125, 2.75
14.625, 13.375, 2.75
14.4375, 12.75, 2.75
11.0, 9.25, 2.875
9.1875, 7.625, 2.75
8.125, 6.8125, 2.625
7.4375, 6.25, 2.375
7.0, 5.8125, 2.3125
6.625, 5.5, 2.125
6.3125, 5.25, 2.0625
6.0, 5.0625, 1.9375
5.8125, 4.8125, 1.8125
5.6875, 4.625, 1.6875
5.5625, 4.5625, 1.6875
5.5, 4.5, 1.625
5.4375, 4.4375, 1.625
5.375, 4.375, 1.5
5.5625, 4.4375, 1.5
5.6875, 4.375, 1.4375
5.625, 4.3125, 1.375
5.5625, 4.375, 1.3125
5.5, 4.25, 1.3125
5.5, 4.3125, 1.25
5.4375, 4.3125, 1.25
5.375, 4.25, 1.1875
5.3125, 4.1875, 1.1875
5.3125, 4.1875, 1.1875
5.25, 4.1875, 1.1875
5.25, 4.1875, 1.125
5.1875, 4.1875, 1.125
5.125, 4.125, 1.0625
5.125, 4.125, 1.0
5.125, 4.0625, 1.125
5.125, 4.0625, 1.0
5.125, 4.0625, 1.0
5.125, 4.0, 1.0
5.0625, 4.0, 1.0
5.125, 3.9375, 0.9375
5.125, 4.0, 1.0
5.1875, 4.0, 1.0
5.125, 3.9375, 1.0
5.0625, 3.9375, 1.0
5.0, 3.875, 1.0
4.9375, 3.8125, 0.9375
4.875, 3.75, 1.0
4.875, 3.75, 1.0
4.8125, 3.625, 0.9375
4.75, 3.5625, 0.9375
4.6875, 3.5625, 1.0
4.6875, 3.5, 0.9375
4.625, 3.4375, 0.9375
4.625, 3.375, 0.9375
4.5625, 3.375, 0.9375
4.5, 3.3125, 0.9375
4.4375, 3.3125, 0.9375
4.4375, 3.25, 0.9375
4.4375, 3.25, 0.9375
4.375, 3.1875, 0.9375
4.375, 3.125, 0.875
4.3125, 3.125, 0.9375
4.3125, 3.125, 0.9375
4.25, 3.0625, 0.875
4.25, 3.0625, 0.875
4.1875, 3.0, 0.9375
4.1875, 3.0625, 0.9375
4.1875, 3.0, 0.9375
4.1875, 3.0, 0.9375
4.1875, 3.0, 0.9375
4.125, 2.9375, 0.9375
4.125, 2.9375, 0.9375
4.125, 2.9375, 0.9375
4.125, 2.9375, 0.9375
4.125, 2.9375, 0.9375
4.125, 2.9375, 0.9375
4.0625, 2.875, 0.9375
4.0625, 2.875, 0.9375
4.0625, 2.9375, 0.9375
4.0625, 2.875, 0.9375
4.0625, 2.9375, 0.9375
4.0625, 2.9375, 0.9375
