Tank, Intake, Exhaust
[21.125, 21.125, 21.0625]
[21.125, 21.125, 21.0625]
[21.125, 21.125, 21.0625]
[21.125, 21.125, 21.0625]
[21.125, 21.125, 21.0625]
[21.125, 21.125, 21.0625]
[21.125, 21.125, 21.0625]
[21.125, 21.125, 21.0]
[21.125, 21.125, 21.0625]
[21.125, 21.125, 21.0625]
[21.125, 21.125, 21.0625]
[21.125, 21.125, 21.0625]
[21.1875, 21.125, 21.0625]
[21.125, 21.125, 21.0625]
[21.125, 21.0625, 21.0625]
[21.125, 21.125, 21.125]
[21.125, 21.0625, 21.125]
[21.125, 21.0625, 21.125]
[21.125, 21.125, 21.125]
[21.125, 21.125, 21.125]
[21.1875, 21.125, 21.125]
[21.1875, 21.0625, 21.125]
[21.125, 21.0625, 21.125]
[21.125, 21.125, 21.125]
[21.125, 21.0625, 21.125]
[21.125, 21.125, 21.125]
[21.125, 21.125, 21.125]
[21.1875, 21.125, 21.125]
[21.1875, 21.125, 21.125]
[21.1875, 21.125, 21.125]
[21.125, 21.125, 21.1875]
[21.1875, 21.125, 21.125]
[21.1875, 21.125, 21.125]
[21.125, 21.0625, 21.1875]
[21.125, 21.125, 21.125]
[21.1875, 21.125, 21.125]
[21.1875, 21.125, 21.125]
[21.125, 21.125, 21.1875]
[21.1875, 21.125, 21.1875]
[21.1875, 21.125, 21.1875]
[21.1875, 21.125, 21.1875]
[21.1875, 21.125, 21.1875]
[21.1875, 21.125, 21.1875]
[21.1875, 21.125, 21.1875]
[21.1875, 21.125, 21.1875]
[21.1875, 21.0625, 21.1875]
[21.1875, 21.125, 21.1875]
[21.1875, 21.125, 21.1875]
[21.1875, 21.125, 21.1875]
[21.1875, 21.125, 21.25]
[21.1875, 21.125, 21.25]
[21.1875, 21.125, 21.25]
[21.1875, 21.125, 21.25]
[21.1875, 21.0625, 21.25]
[21.1875, 21.125, 21.25]
[21.1875, 21.125, 21.25]
[21.1875, 21.125, 21.25]
[21.1875, 21.125, 21.3125]
[21.1875, 21.125, 21.25]
[21.1875, 21.125, 21.25]
[21.1875, 21.125, 21.25]
[21.1875, 21.125, 21.3125]
[21.1875, 21.125, 21.3125]
[21.1875, 21.125, 21.3125]
[21.1875, 21.125, 21.3125]
[21.1875, 21.125, 21.3125]
[21.1875, 21.125, 21.3125]
[21.1875, 21.125, 21.3125]
[21.25, 21.125, 21.375]
[21.25, 21.0625, 21.375]
[21.25, 21.125, 21.375]
[21.1875, 21.125, 21.3125]
[21.1875, 21.125, 21.375]
[21.25, 21.0625, 21.3125]
[21.1875, 21.125, 21.3125]
[21.1875, 21.125, 21.375]
[21.1875, 21.125, 21.375]
[21.1875, 21.125, 21.375]
[21.25, 21.125, 21.375]
[21.1875, 21.125, 21.375]
[21.25, 21.125, 21.375]
[21.1875, 21.125, 21.375]
[21.1875, 21.125, 21.375]
[21.1875, 21.125, 21.375]
[21.1875, 21.125, 21.4375]
[21.1875, 21.125, 21.375]
[21.25, 21.125, 21.4375]
[21.1875, 21.125, 21.375]
[21.25, 21.125, 21.375]
[21.25, 21.125, 21.4375]
[21.1875, 21.125, 21.4375]
[21.25, 21.125, 21.4375]
[21.25, 21.125, 21.4375]
[21.25, 21.125, 21.4375]
[21.25, 21.125, 21.4375]
[21.1875, 21.125, 21.4375]
[21.25, 21.125, 21.4375]
[21.25, 21.125, 21.4375]
[21.25, 21.125, 21.4375]
[21.25, 21.1875, 21.4375]
[21.25, 21.125, 21.4375]
[21.25, 21.125, 21.4375]
[21.25, 21.125, 21.5]
[21.25, 21.125, 21.5]
[21.25, 21.125, 21.5]
[21.25, 21.125, 21.5]
[21.25, 21.125, 21.5]
[21.25, 21.125, 21.5]
[21.25, 21.1875, 21.5]
[21.25, 21.125, 21.5]
[21.25, 21.125, 21.5]
[21.25, 21.1875, 21.5]
[21.25, 21.125, 21.5]
[21.25, 21.1875, 21.5]
[21.3125, 21.1875, 21.5]
[21.25, 21.1875, 21.5625]
[21.25, 21.1875, 21.5]
[21.25, 21.125, 21.5]
[21.25, 21.1875, 21.5]
[21.25, 21.1875, 21.5625]
[21.25, 21.1875, 21.5]
[21.25, 21.1875, 21.5]
[21.25, 21.1875, 21.5]
[21.3125, 21.1875, 21.5625]
[21.25, 21.1875, 21.5625]
[21.25, 21.1875, 21.5625]
[21.3125, 21.1875, 21.5625]
[21.25, 21.1875, 21.5625]
[21.3125, 21.1875, 21.5625]
[21.3125, 21.1875, 21.5625]
[21.3125, 21.1875, 21.5625]
[21.3125, 21.1875, 21.5625]
[21.25, 21.1875, 21.5625]
[21.3125, 21.1875, 21.5625]
[21.3125, 21.1875, 21.625]
[21.25, 21.1875, 21.5625]
[21.25, 21.1875, 21.5625]
[21.25, 21.1875, 21.625]
[21.3125, 21.1875, 21.625]
[21.3125, 21.125, 21.625]
[21.3125, 21.125, 21.5625]
[21.3125, 21.1875, 21.625]
[21.3125, 21.1875, 21.625]
[21.25, 21.1875, 21.625]
[21.3125, 21.125, 21.625]
[21.3125, 21.1875, 21.6875]
[21.3125, 21.1875, 21.6875]
[21.3125, 21.1875, 21.6875]
[21.3125, 21.125, 21.6875]
[21.3125, 21.125, 21.6875]
[21.3125, 21.1875, 21.625]
[21.3125, 21.1875, 21.6875]
[21.3125, 21.125, 21.6875]
[21.3125, 21.1875, 21.6875]
[21.3125, 21.125, 21.6875]
[21.3125, 21.125, 21.6875]
[21.3125, 21.1875, 21.6875]
[21.3125, 21.1875, 21.6875]
[21.3125, 21.1875, 21.6875]
[21.3125, 21.125, 21.6875]
[21.3125, 21.1875, 21.75]
[21.3125, 21.125, 21.6875]
[21.3125, 21.1875, 21.6875]
[21.3125, 21.1875, 21.6875]
[21.3125, 21.1875, 21.75]
[21.3125, 21.1875, 21.75]
[21.3125, 21.125, 21.75]
[21.3125, 21.125, 21.75]
[21.3125, 21.125, 21.75]
[21.3125, 21.125, 21.75]
[21.3125, 21.125, 21.75]
[21.3125, 21.1875, 21.75]
[21.3125, 21.125, 21.8125]
[21.3125, 21.125, 21.75]
[21.3125, 21.1875, 21.75]
[21.3125, 21.125, 21.75]
[21.3125, 21.125, 21.75]
[21.3125, 21.125, 21.8125]
[21.3125, 21.125, 21.8125]
[21.3125, 21.125, 21.8125]
[21.3125, 21.125, 21.75]
[21.3125, 21.125, 21.8125]
[21.3125, 21.125, 21.8125]
[21.3125, 21.125, 21.8125]
[21.3125, 21.125, 21.75]
[21.3125, 21.125, 21.8125]
[21.3125, 21.125, 21.8125]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.8125]
[21.375, 21.125, 21.8125]
[21.3125, 21.0625, 21.8125]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.875]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.375, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 22.0]
[21.3125, 21.125, 21.9375]
[21.3125, 21.125, 22.0]
[21.3125, 21.125, 22.0]
[21.375, 21.125, 22.0]
[21.3125, 21.125, 22.0]
[21.3125, 21.125, 22.0]
[21.375, 21.125, 22.0]
[21.3125, 21.125, 22.0]
[21.3125, 21.125, 22.0]
[21.3125, 21.125, 22.0]
[21.375, 21.125, 22.0]
[21.3125, 21.125, 22.0]
[21.3125, 21.125, 22.0]
[21.3125, 21.1875, 22.0]
[21.3125, 21.125, 22.0]
[21.3125, 21.125, 22.0625]
[21.375, 21.125, 22.0]
[21.375, 21.125, 22.0]
[21.375, 21.125, 22.0]
[21.375, 21.125, 22.0625]
[21.375, 21.125, 22.0625]
[21.3125, 21.1875, 22.0625]
[21.375, 21.125, 22.0625]
[21.375, 21.1875, 22.0625]
[21.375, 21.1875, 22.0625]
[21.375, 21.1875, 22.0625]
[21.375, 21.125, 22.0625]
[21.375, 21.1875, 22.0625]
[21.375, 21.1875, 22.0625]
[21.375, 21.125, 22.125]
[21.375, 21.1875, 22.0625]
[21.375, 21.1875, 22.0625]
[21.375, 21.125, 22.0625]
[21.375, 21.1875, 22.0625]
[21.375, 21.125, 22.0625]
[21.375, 21.1875, 22.125]
[21.375, 21.1875, 22.125]
[21.375, 21.1875, 22.0625]
[21.375, 21.1875, 22.125]
[21.375, 21.1875, 22.125]
[21.375, 21.1875, 22.125]
[21.375, 21.1875, 22.125]
[21.375, 21.1875, 22.125]
[21.375, 21.1875, 22.125]
[21.4375, 21.1875, 22.125]
[21.375, 21.1875, 22.125]
[21.375, 21.1875, 22.125]
[21.375, 21.1875, 22.1875]
[21.4375, 21.1875, 22.125]
[21.4375, 21.1875, 22.1875]
[21.4375, 21.1875, 22.125]
[21.4375, 21.125, 22.125]
[21.4375, 21.1875, 22.125]
[21.4375, 21.1875, 22.1875]
[21.4375, 21.1875, 22.1875]
[21.4375, 21.1875, 22.1875]
[21.4375, 21.1875, 22.1875]
[21.4375, 21.1875, 22.1875]
[21.4375, 21.1875, 22.1875]
[21.4375, 21.1875, 22.125]
[21.375, 21.1875, 22.1875]
[21.4375, 21.1875, 22.1875]
[21.4375, 21.1875, 22.1875]
[21.4375, 21.1875, 22.1875]
[21.4375, 21.1875, 22.25]
[21.4375, 21.1875, 22.25]
[21.4375, 21.1875, 22.25]
[21.4375, 21.125, 22.25]
[21.4375, 21.1875, 22.25]
